FCLTY_NM,FCLTY_LO,FCLTY_LA,KLANG_NM,ENGL_AREA_NM,JLANG_NM,CHNLNG_SIMCH_NM,CHNLNG_TRACH_NM,CTPRVN_CD,SIGNGU_CD,CTPRVN_KLANG_NM,SIGNGU_KLANG_NM,ADSTRD_KLANG_NM,CTPRVN_JLANG_NM,SIGNGU_JLANG_NM,ADSTRD_JLANG_NM,BASE_DE
가평/쁘띠프랑스,999131.0,1968379.0,가평쁘띠프랑스,Petite France,プチフランス,加平小法?西,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
산장/국민관광지,992262.0,1972726.0,산장국민관광지,,山??民?光地,山庄?民?光地,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
금강유원지,1005675.0,1990830.0,금강유원지,Geumgang Resort,錦江遊園地,?江游?地,錦江遊園區,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
번창유원지,984864.0,1979808.0,번창유원지,,ポンチャン遊園地,繁?游??,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
생텍쥐페리기념관,999177.7855,1968403.5,생텍쥐페리기념관,,,?埃克?佩里?念?,聖埃克蘇佩里紀念館,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
에델바이스,995417.43,1963122.5,에델바이스,,エ?デルワイス,,,41,41820,경기,가평군,설악면,京畿道,加平郡,雪岳面,2021-12-31
J잔디가든/유원지,988480.0,1989085.0,J잔디가든유원지,,J芝ガ?デン遊園地,草坪花?游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
가족유원지,989895.0,1974284.0,가족유원지,,家族遊園地,家庭游??,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
꿈의동산/놀이공원,998823.0,1976005.0,꿈의동산놀이공원,,ドリ?ム遊園地,?之花?游??,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
녹천유원지,986818.0,1982927.0,녹천유원지,,ノクチョン遊園地,?天游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
대보농원/유원지,990143.0,1978149.0,대보농원유원지,,大報農園遊園地,大浦??游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
돌섬유원지,991312.0,1973340.0,돌섬유원지,,トルソム遊園地,石?游???墅,,41,41820,경기,가평군,상면,京畿道,加平郡,上面,2021-12-31
민경유원지,987170.0,1984266.0,민경유원지,,ミンギョン遊園地,民景游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
북한강유원지,1002023.0,1981183.0,북한강유원지,,北漢江遊園地,北?江  游??,,41,41820,경기,가평군,가평읍,京畿道,加平郡,加平邑,2021-12-31
빨강농구대/쉼터,990865.0,1977503.0,빨강농구대쉼터,,赤バスケットゴ?ル憩いの場,?色?球架休息?,,41,41820,경기,가평군,조종면,,,,2021-12-31
선녀탕유원지,996652.0,1996250.0,선녀탕유원지,,仙女湯遊園地,仙女浴池游??,,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
성모유원지,989386.0,1968804.0,성모유원지,,聖母遊園地,?母游??,,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
소법유원지,1005561.0,1990106.0,소법유원지,,所法遊園地,所法游??,,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
용추유원지,986542.0,1983504.0,용추유원지,,龍湫遊園地,?秋游??,,41,41820,경기,가평군,조종면,,,,2021-12-31
원두막유원지,985739.0,1980045.0,원두막유원지,Recreation Area,園頭幕遊園地,瓜棚游??,遊園區,41,41820,경기,가평군,조종면,,,,2021-12-31
조무락골/유원지,995376.0,1998567.0,조무락골유원지,Recreation Area,鳥舞?谷遊園地,?舞?谷游??,遊園區,41,41820,경기,가평군,북면,京畿道,加平郡,北面,2021-12-31
청명유원지,993424.0,1970376.0,청명유원지,Recreation Area,?平遊園地,?明游??,遊園區,41,41820,경기,가평군,청평면,京畿道,加平郡,?平面,2021-12-31
